0.100000	0.000918	0.000918
0.200000	0.003672	0.003670
0.300000	0.008262	0.008258
0.400000	0.014688	0.014680
0.500000	0.022950	0.022938
0.600000	0.033048	0.033031
0.700000	0.044982	0.044958
0.800000	0.058752	0.058721
0.900000	0.074358	0.074319
1.000000	0.091800	0.091752
1.100000	0.111078	0.111020
1.200000	0.132192	0.132122
1.300000	0.155142	0.155060
1.400000	0.179928	0.179833
1.500000	0.206550	0.206441
1.600000	0.235008	0.234884
1.700000	0.265302	0.265162
1.800000	0.297432	0.297276
1.900000	0.331398	0.331224
2.000000	0.367200	0.367007
2.100000	0.404838	0.404625
2.200000	0.444312	0.444078
2.300000	0.485622	0.485366
2.400000	0.528768	0.528490
2.500000	0.573750	0.573448
2.600000	0.620568	0.620241
2.700000	0.669222	0.668870
2.800000	0.719712	0.719333
2.900000	0.772038	0.771632
3.000000	0.826200	0.825765
3.100000	0.882198	0.881734
3.200000	0.940032	0.939537
3.300000	0.999702	0.999176
3.400000	1.061208	1.060650
3.500000	1.124550	1.123958
3.600000	1.189728	1.189102
3.700000	1.256742	1.256081
3.800000	1.325592	1.324895
3.900000	1.396278	1.395543
4.000000	1.468800	1.468027
4.100000	1.543158	1.542346
4.200000	1.619352	1.618500
4.300000	1.697382	1.696489
4.400000	1.777248	1.776313
4.500000	1.858950	1.857972
4.600000	1.942488	1.941466
4.700000	2.027862	2.026795
4.800000	2.115072	2.113959
4.900000	2.204118	2.202958
5.000000	2.295000	2.293792
5.100000	2.387718	2.386462
5.200000	2.482272	2.480966
5.300000	2.578662	2.577305
5.400000	2.676888	2.675480
5.500000	2.776950	2.775489
5.600000	2.878848	2.877333
5.700000	2.982582	2.981013
5.800000	3.088152	3.086527
5.900000	3.195558	3.193877
6.000000	3.304800	3.303061
6.100000	3.415878	3.414081
6.200000	3.528792	3.526935
6.300000	3.643542	3.641625
6.400000	3.760128	3.758150
6.500000	3.878550	3.876509
6.600000	3.998808	3.996704
6.700000	4.120902	4.118734
6.800000	4.244832	4.242599
6.900000	4.370598	4.368298
7.000000	4.498200	4.495833
7.100000	4.627638	4.625203
7.200000	4.758912	4.756408
7.300000	4.892022	4.889448
7.400000	5.026968	5.024323
7.500000	5.163750	5.161033
7.600000	5.302368	5.299578
7.700000	5.442822	5.439958
7.800000	5.585112	5.582173
7.900000	5.729238	5.726224
8.000000	5.875200	5.872109
8.100000	6.022998	6.019829
8.200000	6.172632	6.169384
8.300000	6.324102	6.320775
8.400000	6.477408	6.474000
8.500000	6.632550	6.629060
8.600000	6.789528	6.785956
8.700000	6.948342	6.944686
8.800000	7.108992	7.105252
8.900000	7.271478	7.267652
9.000000	7.435800	7.431888
9.100000	7.601958	7.597958
9.200000	7.769952	7.765864
9.300000	7.939782	7.935605
9.400000	8.111448	8.107180
9.500000	8.284950	8.280591
9.600000	8.460288	8.455837
9.700000	8.637462	8.632917
9.800000	8.816472	8.811833
9.900000	8.997318	8.992584
10.000000	9.180000	9.175170
